dr_no,date_occ,date_rptd,time_occ,area_name,latitude,longitude,rpt_dist_no,mocodes,vict_age,vict_sex,vict_descent,premis_cd,location,cross_street,TMAX,TMIN,PRCP
200508711,2020-04-26,2020-04-26,00:15,long_beach,33.8468,-118.3093,0504,"{3037,3006,3026,3101}",36,Unknown,Hispanic,101,WESTERN,DEL_AMO,27.8,14.4,0
200508711,2020-04-26,2020-04-26,00:15,long_beach,33.8468,-118.3093,0504,"{3037,3006,3026,3101}",,Unknown,Hispanic,101,WESTERN,DEL_AMO,27.8,14.4,0
200508714,2020-04-26,2020-04-26,07:30,long_beach,33.8315,-118.3038,0506,"{4025,3006,3030,3028,3101}",28,M,Hispanic,101,CARSON_ST,DENKER_AV,27.8,14.4,0
200508723,2020-04-26,2020-04-26,16:00,long_beach,33.7931,-118.2407,0519,"{3036,3004,3026,3101}",57,M,Hispanic,101,ALAMEDA,O_ST,27.8,14.4,0
200508739,2020-04-26,2020-04-26,15:00,long_beach,33.746,-118.2817,0558,"{3037,3006,3028,3030,3101}",36,Unknown,Hispanic,101,PALOS_VERDES,OFARRELL,27.8,14.4,0
200508739,2020-04-26,2020-04-26,15:00,long_beach,33.746,-118.2817,0558,"{3037,3006,3028,3030,3101}",,Unknown,Hispanic,101,PALOS_VERDES,OFARRELL,27.8,14.4,0
200508763,2020-04-27,2020-04-27,14:15,long_beach,33.7974,-118.2372,0519,"{3037,3004,3028,3030,3101}",50,M,Hispanic,101,PCH,BROAD_AV,21.1,15,0
200508785,2020-04-28,2020-04-28,06:15,long_beach,33.7343,-118.3119,0561,"{3006,3028,3030,4025,3037,3101}",45,M,Hispanic,101,DODSON_AV,11TH_ST,22.2,16.1,0
200508814,2020-04-28,2020-04-29,21:30,long_beach,33.7538,-118.2905,0523,"{4025,3037,3011,3026,3101,3039}",35,M,Hispanic,101,JOHN_S_GIBSON_ST,CHANNEL_ST,22.2,16.1,0
200508824,2020-04-29,2020-04-29,01:40,long_beach,33.7821,-118.278,0514,"{3037,3006,3026,3101}",25,M,Hispanic,101,FRIGATE_AV,OPP_ST,21.1,16.1,0
200508830,2020-04-27,2020-04-27,00:01,long_beach,33.8016,-118.3042,0509,"{3037,3006,3025,3101}",19,M,Other,101,WESTERN_AV,236TH_ST,21.1,15,0
200508841,2020-04-29,2020-04-29,14:45,long_beach,33.7486,-118.2805,0558,"{3008,3026,3101,3037}",29,M,Hispanic,101,HARBOR_BL,SWINFORD_ST,21.1,16.1,0
200508847,2020-04-29,2020-04-29,16:10,long_beach,33.7225,-118.3034,0585,{4025},66,M,White,101,24TH_ST,WALKER_ST,21.1,16.1,0
200508869,2020-04-28,2020-04-29,01:30,long_beach,33.771,-118.2669,0527,"{3037,3006,3028,3030,3101}",22,M,Hispanic,101,HARRY_BRIDGES_BL,LAGOON_AV,22.2,16.1,0
200508882,2020-04-30,2020-04-30,13:00,long_beach,33.7753,-118.2456,0529,"{4005,3036,3004,3026,3101}",37,M,Hispanic,101,HARRY_BRIDGE_BL,QUAY_AV,22.2,16.1,0
200508901,2020-04-27,2020-05-01,18:10,long_beach,33.8583,-118.2993,0504,"{3037,3004,3026,3029,3101}",68,M,Hispanic,101,190TH_ST,NORMANDIE,21.1,15,0
200508902,2020-04-29,2020-04-29,00:45,long_beach,33.8221,-118.299,0507,"{3037,3030,3101,3006}",19,Unknown,Hispanic,101,NORMANDIE,225TH,21.1,16.1,0
200508903,2020-04-29,2020-05-01,19:00,long_beach,33.8316,-118.2996,0506,"{3037,3008,3025,3101}",34,M,White,101,CARSON_ST,NORMANDIE_AV,21.1,16.1,0
200508904,2020-04-30,2020-04-30,17:30,long_beach,33.7809,-118.2452,0529,"{3037,3004,3026,3101}",54,M,Hispanic,101,ANAHEIM,ALAMEDA,22.2,16.1,0
200508906,2020-05-01,2020-05-01,16:00,long_beach,33.78,-118.2624,0526,"{4025,3006,3028,3030,3101}",54,F,Hispanic,108,100_W_ANAHEIM_ST,unknown,22.2,17.2,0
200508906,2020-05-01,2020-05-01,16:00,long_beach,33.78,-118.2624,0526,"{4025,3006,3028,3030,3101}",54,F,Hispanic,108,100_W_ANAHEIM_ST,,22.2,17.2,0
200508912,2020-05-02,2020-05-02,00:10,long_beach,33.8355,-118.3065,0506,"{3037,3006,3028,3030,3101}",19,Unknown,Hispanic,101,213TH,HARVARD,25.6,15.6,0
200508918,2020-05-01,2020-05-01,09:00,long_beach,33.7538,-118.2905,0555,"{3037,3025,3101}",19,M,Other,101,PACIFIC_AV,CHANNEL_ST,22.2,17.2,0
200508919,2020-05-01,2020-05-01,10:10,long_beach,33.7904,-118.2777,0514,"{3037,3006,3030,3101}",48,F,White,101,PACIFIC_COAST_HY,unknown,22.2,17.2,0
200508919,2020-05-01,2020-05-01,10:10,long_beach,33.7904,-118.2777,0514,"{3037,3006,3030,3101}",48,F,White,101,PACIFIC_COAST_HY,,22.2,17.2,0
200508920,2020-05-01,2020-05-01,13:40,long_beach,33.8648,-118.2931,0501,"{3036,3004,3026,3101}",29,M,Other,101,190TH_ST,WESTERN_AV,22.2,17.2,0
200508922,2020-04-30,2020-05-01,17:00,long_beach,33.7279,-118.2924,0585,{},68,M,White,101,PACIFIC_COAST_HY,unknown,22.2,16.1,0
200508922,2020-04-30,2020-05-01,17:00,long_beach,33.7279,-118.2924,0585,{},68,M,White,101,PACIFIC_COAST_HY,,22.2,16.1,0
200508923,2020-04-30,2020-05-01,20:00,long_beach,33.7279,-118.288,0567,{},49,M,Black,101,18TH_ST,PACIFIC_AV,22.2,16.1,0
200508925,2020-05-02,2020-05-02,00:30,long_beach,33.7143,-118.2929,0587,"{3037,3006,3101}",19,M,Other,101,GAFFEY_ST,33RD_ST,25.6,15.6,0
200508928,2020-05-01,2020-05-02,23:50,long_beach,33.7234,-118.2902,0585,{},21,M,Hispanic,101,GRAND_AV,23RD_ST,22.2,17.2,0
200508947,2020-05-02,2020-05-02,13:15,long_beach,33.7424,-118.2879,0564,"{3037,3004,3030,3101}",59,M,Hispanic,101,PACIFIC_COAST_HY,unknown,25.6,15.6,0
200508947,2020-05-02,2020-05-02,13:15,long_beach,33.7424,-118.2879,0564,"{3037,3004,3030,3101}",59,M,Hispanic,101,PACIFIC_COAST_HY,,25.6,15.6,0
200508949,2020-05-02,2020-05-02,11:30,long_beach,33.7522,-118.3089,0541,"{3037,3006,3030,3101}",34,M,White,101,PACIFIC_COAST_HY,unknown,25.6,15.6,0
200508949,2020-05-02,2020-05-02,11:30,long_beach,33.7522,-118.3089,0541,"{3037,3006,3030,3101}",34,M,White,101,PACIFIC_COAST_HY,,25.6,15.6,0
200508954,2020-05-02,2020-05-02,05:10,long_beach,33.8696,-118.2865,0501,"{3036,3011,3030,3101}",36,Unknown,Hispanic,101,PACIFIC_COAST_HY,unknown,25.6,15.6,0
200508954,2020-05-02,2020-05-02,05:10,long_beach,33.8696,-118.2865,0501,"{3036,3011,3030,3101}",,Unknown,Hispanic,101,PACIFIC_COAST_HY,unknown,25.6,15.6,0
200508954,2020-05-02,2020-05-02,05:10,long_beach,33.8696,-118.2865,0501,"{3036,3011,3030,3101}",,Unknown,Hispanic,101,PACIFIC_COAST_HY,,25.6,15.6,0
200508961,2020-05-02,2020-05-02,23:20,long_beach,33.8583,-118.2992,0504,"{4005,3037,3004,3028,3030,3101}",69,F,Hispanic,101,NORMANDIE_AV,190TH_ST,25.6,15.6,0
200508965,2020-05-02,2020-05-02,21:00,long_beach,33.7216,-118.2946,0585,"{3036,3004,3026,3101}",17,F,White,101,CABRILLO_AV,25TH_ST,25.6,15.6,0
200508968,2020-05-02,2020-05-02,23:55,long_beach,33.7424,-118.2857,0564,"{3036,3006,3030,3101}",19,F,Other,101,MESA_ST,2ND_ST,25.6,15.6,0
200508969,2020-05-03,2020-05-03,06:20,long_beach,33.7415,-118.2879,0557,"{4025,3004,3034,3025,3029}",62,M,Other Asian,101,PACIFIC_AV,3RD_ST,24.4,15,0
200508972,2020-05-03,2020-05-03,12:00,long_beach,33.7992,-118.2639,0515,"{4025,3037,3006,3028,3101}",42,M,Hispanic,101,AVALON_BL,LOMITA_BL,24.4,15,0
200508982,2020-05-03,2020-05-03,17:50,long_beach,33.7315,-118.2902,0563,{},71,M,Hispanic,101,14TH,GRAND_AV,24.4,15,0
200508987,2020-05-02,2020-05-02,14:00,long_beach,33.7434,-118.3097,0551,"{3037,3011,3026,3101}",36,Unknown,Hispanic,101,WESTERN,1ST,25.6,15.6,0
200508987,2020-05-02,2020-05-02,14:00,long_beach,33.7434,-118.3097,0551,"{3037,3011,3026,3101}",,Unknown,Hispanic,101,WESTERN,1ST,25.6,15.6,0
200508990,2020-05-03,2020-05-03,21:00,long_beach,33.7895,-118.3076,0511,"{3037,3003,3024,3101}",30,F,White,101,PACIFIC_COAST_HY,WESTERN,24.4,15,0
200509003,2020-05-03,2020-05-03,19:55,long_beach,33.7306,-118.2924,0563,"{3101,3037,3004,3026,3029}",24,M,Black,101,15TH_ST,GAFFEY,24.4,15,0
200509026,2020-05-03,2020-05-03,15:27,long_beach,33.7379,-118.2835,0564,"{3037,3006,3030,3101}",36,Unknown,Hispanic,101,7TH,CENTRE,24.4,15,0
200509026,2020-05-03,2020-05-03,15:27,long_beach,33.7379,-118.2835,0564,"{3037,3006,3030,3101}",,Unknown,Hispanic,101,7TH,CENTRE,24.4,15,0
200509027,2020-05-02,2020-05-02,20:40,long_beach,33.7905,-118.275,0514,"{3037,3003,3025,3029,3101}",77,M,Other,101,PACIFIC_COAST_HY,WILMINGTON,25.6,15.6,0
200509031,2020-05-04,2020-05-04,21:00,long_beach,33.7915,-118.2389,0519,"{3037,3006,3030,3101}",36,Unknown,Hispanic,101,PACIFIC_COAST_HY,GOODRICH,27.8,13.3,0
200509031,2020-05-04,2020-05-04,21:00,long_beach,33.7915,-118.2389,0519,"{3037,3006,3030,3101}",,Unknown,Hispanic,101,PACIFIC_COAST_HY,GOODRICH,27.8,13.3,0
200509040,2020-05-05,2020-05-05,05:27,long_beach,33.7916,-118.2563,0517,"{4025,3036,3027,3003,3101,3501,1218,1402}",73,M,Hispanic,101,EUBANK_AV,PACIFIC_COAST_HY,32.2,15.6,0
200509041,2020-05-05,2020-05-05,05:28,long_beach,33.7916,-118.2563,0517,"{4025,3036,3003,3025,3103}",55,M,Hispanic,101,EUBANK_AV,PACIFIC_COAST_HY,32.2,15.6,0
200509048,2020-05-04,2020-05-05,15:00,long_beach,33.7589,-118.2872,0523,"{3037,3004,3030,3101}",63,M,Other Asian,101,PACIFIC_COAST_HY,unknown,27.8,13.3,0
200509048,2020-05-04,2020-05-05,15:00,long_beach,33.7589,-118.2872,0523,"{3037,3004,3030,3101}",63,M,Other Asian,101,PACIFIC_COAST_HY,,27.8,13.3,0
200509058,2020-05-05,2020-05-05,15:15,long_beach,33.7807,-118.2494,0529,"{4025,3037,3006,3028,3101}",36,M,Hispanic,101,ANAHEIM_ST,FLINT_AV,32.2,15.6,0
200509058,2020-05-05,2020-05-05,15:15,long_beach,33.7807,-118.2494,0529,"{4025,3037,3006,3028,3101}",,M,Hispanic,101,ANAHEIM_ST,FLINT_AV,32.2,15.6,0
